index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 136.5, Co: 33.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 135.9, Co: 33, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 136.8, Co: 33, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 37, Somg: 135.9, Co: 33, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 135.9, Co: 33, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 135.9, Co: 32.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 135.9, Co: 32.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 134.3, Co: 32.8, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 135.6, Co: 32.8, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 136.5, Co: 32.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 134.9, Co: 32.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 134.6, Co: 32.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 134, Co: 32.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 133.7, Co: 32.3, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 133.3, Co: 32.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 133.3, Co: 32.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 132.4, Co: 32.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 133.7, Co: 32.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 133.7, Co: 32.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 134, Co: 32.3, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 133.7, Co: 32.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 132.7, Co: 32.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 133.7, Co: 32.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 134.3, Co: 32.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 134.6, Co: 32.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 133.7, Co: 32, Mode: 0, …}
index.js? [sm]:128 {Temp: 31, Hum: 36, Somg: 133.7, Co: 32.1, Mode: 0, …}
