index.js? [sm]:128 {Temp: 45, Hum: 23, Somg: 146.9, Co: 42.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 21, Somg: 144.5, Co: 41.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 20, Somg: 146.2, Co: 42.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 20, Somg: 147.6, Co: 42.4, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 20, Somg: 142.1, Co: 41.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 19, Somg: 142.8, Co: 40.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 44, Hum: 20, Somg: 141.4, Co: 37.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 44, Hum: 20, Somg: 139.8, Co: 37.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 44, Hum: 20, Somg: 134, Co: 36.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 43, Hum: 20, Somg: 139.1, Co: 36.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 43, Hum: 21, Somg: 139.8, Co: 37, Mode: 0, …}
index.js? [sm]:128 {Temp: 43, Hum: 21, Somg: 141.4, Co: 37.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 42, Hum: 20, Somg: 139.1, Co: 36.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 42, Hum: 22, Somg: 140.4, Co: 37.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 42, Hum: 20, Somg: 138.5, Co: 36.8, Mode: 0, …}
index.js? [sm]:128 {Temp: 43, Hum: 21, Somg: 139.8, Co: 36.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 42, Hum: 20, Somg: 137.8, Co: 34.8, Mode: 0, …}
index.js? [sm]:128 {Temp: 42, Hum: 20, Somg: 138.5, Co: 35, Mode: 0, …}
index.js? [sm]:128 {Temp: 42, Hum: 20, Somg: 150.9, Co: 35.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 40, Hum: 20, Somg: 150.5, Co: 35.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 40, Hum: 22, Somg: 137.2, Co: 34.3, Mode: 0, …}
index.js? [sm]:128 {Temp: 40, Hum: 22, Somg: 151.2, Co: 35.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 40, Hum: 23, Somg: 136.2, Co: 33.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 40, Hum: 23, Somg: 149.8, Co: 34.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 39, Hum: 23, Somg: 150.1, Co: 34.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 40, Hum: 26, Somg: 150.5, Co: 36.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 40, Hum: 20, Somg: 143.5, Co: 32.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 39, Hum: 21, Somg: 144.2, Co: 32.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 39, Hum: 21, Somg: 143.1, Co: 32.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 39, Hum: 22, Somg: 143.8, Co: 32.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 39, Hum: 23, Somg: 143.1, Co: 32.4, Mode: 0, …}
index.js? [sm]:128 {Temp: 39, Hum: 24, Somg: 142.5, Co: 32.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 39, Hum: 24, Somg: 141.8, Co: 32.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 39, Hum: 24, Somg: 142.5, Co: 32.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 40, Hum: 23, Somg: 142.1, Co: 32.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 40, Hum: 22, Somg: 142.8, Co: 32.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 40, Hum: 26, Somg: 137.2, Co: 33, Mode: 0, …}
index.js? [sm]:128 {Temp: 40, Hum: 28, Somg: 136.8, Co: 35.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 41, Hum: 26, Somg: 139.1, Co: 36.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 22, Somg: 132.4, Co: 37.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 46, Hum: 25, Somg: 134.6, Co: 36.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 47, Hum: 24, Somg: 134.6, Co: 36.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 42, Hum: 28, Somg: 137.5, Co: 36.3, Mode: 0, …}
index.js? [sm]:128 {Temp: 43, Hum: 28, Somg: 132.1, Co: 36.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 44, Hum: 28, Somg: 134.3, Co: 39.4, Mode: 0, …}
index.js? [sm]:128 {Temp: 44, Hum: 26, Somg: 136.8, Co: 41.3, Mode: 0, …}
index.js? [sm]:128 {Temp: 44, Hum: 25, Somg: 143.5, Co: 43.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 24, Somg: 144.2, Co: 45.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 22, Somg: 144.2, Co: 45.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 21, Somg: 145.9, Co: 45.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 21, Somg: 146.2, Co: 46.3, Mode: 0, …}
index.js? [sm]:128 {Temp: 46, Hum: 20, Somg: 141.8, Co: 46.4, Mode: 0, …}
index.js? [sm]:128 {Temp: 46, Hum: 20, Somg: 149.1, Co: 47.3, Mode: 0, …}
index.js? [sm]:128 {Temp: 46, Hum: 19, Somg: 145.5, Co: 47.4, Mode: 0, …}
index.js? [sm]:128 {Temp: 46, Hum: 18, Somg: 144.8, Co: 46.8, Mode: 0, …}
index.js? [sm]:128 {Temp: 46, Hum: 18, Somg: 140.8, Co: 46.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 46, Hum: 18, Somg: 145.9, Co: 46.4, Mode: 0, …}
index.js? [sm]:128 {Temp: 46, Hum: 18, Somg: 142.8, Co: 46.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 46, Hum: 17, Somg: 144.8, Co: 45.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 46, Hum: 18, Somg: 140.1, Co: 45.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 46, Hum: 18, Somg: 145.2, Co: 46.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 46, Hum: 17, Somg: 144.8, Co: 45.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 46, Hum: 17, Somg: 146.2, Co: 46.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 46, Hum: 17, Somg: 145.2, Co: 46, Mode: 0, …}
index.js? [sm]:128 {Temp: 46, Hum: 16, Somg: 142.5, Co: 44.4, Mode: 0, …}
index.js? [sm]:128 {Temp: 46, Hum: 16, Somg: 135.6, Co: 44.4, Mode: 0, …}
index.js? [sm]:128 {Temp: 46, Hum: 16, Somg: 142.1, Co: 43.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 46, Hum: 16, Somg: 141.1, Co: 43.1, Mode: 0, …}
