Temp,Hum,Somg,Co,预测等级（0正常/1阴燃/2着火）
31,37,125.5,30.6,1
31,37,126.4,30.7,1
31,37,125.8,30.5,1
31,37,125.5,30.5,1
31,37,124.6,30.3,1
31,37,124.9,30.3,1
31,37,125.5,30.4,1
31,37,124.9,30.4,1
31,37,124.3,30.3,1
31,37,124,30.3,1
31,37,125.2,30.3,1
31,37,124.6,30.2,1
31,37,124.6,30.2,1
31,37,123.7,30.1,1
31,37,124.6,30.3,1
30,36,123.5,30.1,1
30,36,122.6,30,1
30,36,121.8,29.9,1
30,37,123.5,29.9,1
30,37,123.5,30,1
30,37,122.6,30,1
30,37,122.6,30,1
30,37,123.5,29.9,1
30,36,121.5,29.8,1
30,37,120.6,29.6,1
30,36,120.4,29.8,1
30,37,122.3,29.6,1
30,37,120.4,29.7,1
30,37,120.6,29.6,1
30,37,121.5,29.8,1
30,37,121.2,29.6,1
30,37,121.2,29.6,1
30,37,120.4,29.7,1
30,37,118.7,29.6,1
30,37,119.3,29.6,1
30,37,120.1,29.5,1
30,37,119.8,29.5,1
30,37,119.5,29.5,1
30,37,119.3,29.5,1
30,37,117.9,29.3,1
30,37,119.8,29.4,1
30,37,118.7,29.4,1
30,37,119.3,29.3,1
30,37,118.4,29.4,1
30,37,119,29.3,1
30,37,118.4,29.4,1
30,37,118.7,29.3,1
30,37,118.2,29.3,1
30,37,118.7,29.3,1
30,37,117.9,29.3,1
30,37,117.4,29.3,1
30,37,116.8,29.1,1
30,37,117.1,29.2,1
30,37,117.6,29.2,1
30,37,116.8,29.2,1
30,37,116.5,29.1,1
30,37,117.6,29.1,1
30,37,117.1,29.2,1
30,37,116.3,29.1,1
30,37,116.8,29,1
30,37,116.5,29.1,1
30,37,116,29,1
31,37,112.4,28.6,1
31,37,111.8,28.6,1
31,37,112.4,28.5,1
31,37,111.8,28.6,1
31,37,111.3,28.6,1
31,37,112.6,28.6,1
31,37,111.8,28.6,1
31,37,111.8,28.5,1
31,37,111.3,28.5,1
31,37,110.6,28.5,1
31,36,110.8,28.5,1
31,36,110.1,28.3,1
31,36,110.8,28.4,1
31,36,109.8,28.2,1
31,36,109.8,28.1,1
31,36,109.1,28.2,1
31,36,108.3,28,1
31,36,109.6,28.1,1
31,36,109.8,28.3,1
31,37,109.3,28.3,1
31,37,109.1,28.3,1
31,37,109.6,28.2,1
31,37,109.1,28.1,1
31,37,108.6,28.2,1
31,36,108.3,28.1,1
31,36,108.3,28.1,1
31,37,108.8,28.1,1
31,37,106.6,28,1
31,37,109.1,28.1,1
31,36,108.6,28.1,1
31,36,108.3,28.1,1
31,36,107.4,28,1
31,36,106.4,28,1
31,36,106.2,28,1
31,36,107.1,28,1
31,36,106.9,27.8,1
31,37,106.6,27.9,1
31,37,105.9,27.9,1
31,37,105.9,27.9,1
31,37,105.9,27.8,1
31,37,105.9,27.9,1
31,37,106.4,27.9,1
31,37,106.4,27.9,1
31,37,106.6,27.9,1
31,37,106.6,27.8,1
31,37,105.7,27.9,1
31,37,104.7,27.7,1
31,37,105,27.8,1
31,37,105.7,27.8,1
31,36,105.7,27.8,1
31,36,105,27.8,1
31,36,105.7,27.8,1
31,36,105,27.8,1
31,36,105.2,27.8,1
31,36,105,27.7,1
31,36,104,27.7,1
31,36,104.7,27.8,1
31,36,104,27.7,1
31,36,104.3,27.7,1
31,36,102.6,27.6,1
31,36,102.2,27.5,1
31,36,102.4,27.4,1
31,36,103.3,27.6,1
31,35,103.1,27.6,1
31,36,102.9,27.6,1
31,35,102.4,27.6,1
31,36,103.1,27.6,1
31,36,102.9,27.6,1
31,36,102.4,27.5,1
31,36,101.7,27.5,1
31,36,101.9,27.5,1
31,36,101.5,27.4,1
31,35,99.2,27.2,1
31,35,99.7,27.3,1
31,35,99.5,27.2,1
31,35,99,27.2,1
31,35,98.8,27.1,1
31,35,99.5,27.2,1
31,35,98.3,27.1,1
31,35,98.8,27.1,1
31,35,97,27,1
31,35,95.8,27,1
31,36,98.6,27,1
31,36,97.5,27,1
31,36,97,27,1
31,36,97.3,27,1
31,36,97.5,26.9,1
31,36,97.5,26.9,1
31,36,96.2,26.8,1
31,37,96.6,26.8,1
31,37,96.8,26.8,1
31,37,97.3,26.9,1
31,37,96.2,26.6,1
31,37,96.8,26.9,1
31,37,97.3,26.8,1
31,37,96.4,26.8,1
31,37,95.8,26.8,1
31,37,96.8,26.8,1
31,37,96,26.7,1
31,37,96.2,26.7,1
31,36,96.4,26.8,1
31,36,96.8,26.8,1
31,36,95.3,26.8,1
31,36,95.5,26.7,1
31,36,95.5,26.7,1
31,36,95.5,26.7,1
31,37,94.1,26.6,1
31,37,94.5,26.6,1
31,36,94.7,26.6,1
31,37,94.5,26.6,1
31,37,94.9,26.7,1
31,37,94.5,26.6,1
31,37,94.1,26.6,1
31,36,94.5,26.5,1
31,37,94.7,26.5,1
31,37,94.5,26.5,1
31,37,93.2,26.5,1
31,37,93.6,26.4,1
31,37,93.6,26.4,1
31,37,93.6,26.4,1
31,37,93,26.4,1
30,36,92.6,26.4,1
30,36,93.2,26.4,1
30,36,93.2,26.3,1
30,36,92.6,26.3,1
30,36,91.8,26.2,1
30,37,92.2,26.2,1
30,37,92.6,26.3,1
30,37,92.6,26.2,1
30,37,92,26.2,1
30,37,92,26.2,1
30,37,92,26.2,1
30,37,91.2,26.2,1
30,37,91.8,26.2,1
30,37,91.2,26.1,1
30,37,91.4,26.2,1
30,37,90.8,26.1,1
30,38,91.4,26,1
30,38,90.8,26,1
29,39,89.2,25.7,1
29,38,89.2,25.7,1
29,39,88.4,25.8,1
30,38,89,25.8,1
30,38,88.8,25.8,1
30,38,89.2,25.7,1
30,38,89.2,25.7,1
